Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Pardon,Cracker,Other,Local,Germany,Snacks,Nov,2017,Vol,Plan,"10,068.70"
Tasty,Cereals-Oats,Capture Family Fun,Local,Spain,Snacks,Mar,2017,Vol,Plan,"10,070.00"
Doritos,Core,Deepen Youth Footprint,Global,Spain,Snacks,Apr,2017,NR,LY,"10,074.20"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Oct,2017,Vol,LY,"10,074.30"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,May,2017,NR,Plan,"10,075.90"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Apr,2017,Vol,LY,"10,076.60"
Quaker,Oats,Other,Global,Spain,Snacks,Feb,2017,Vol,Plan,"10,083.60"
Pepsi,Pepsi Light,Colas,Global,Italy,Beverages,Sep,2017,Vol,LY,"10,087.70"
Ruffles,Ruffles,Build Lays Powerbrand,Global,Germany,Snacks,Nov,2017,Vol,Plan,"10,088.10"
Other CSD,Evervess,Flavors,Local,Portugal,Beverages,May,2017,NR,LY,"10,095.00"
Other Juice,IVI Juices,Other,Local,Portugal,Beverages,Jan,2017,NR,Actual,"10,098.10"
Other Juice,IVI Juices,Other,Local,Portugal,Beverages,Jan,2017,NR,Fcst,"10,098.10"
Lay's,PC V-Cut,Build Lays Powerbrand,Global,Netherlands,Snacks,Nov,2017,Vol,Fcst,"10,100.00"
Other Energy,RockStar,Energy,Local,France,Beverages,Jan,2017,Vol,Plan,"10,102.80"
Other Energy,RockStar,Energy,Local,Spain,Beverages,Jun,2017,NR,Plan,"10,114.60"
Other Juice,Toma Still Drink,Other,Local,Switzerland,Beverages,Jul,2017,Vol,Plan,"10,119.40"
Balance,Balance,Other,Local,Spain,Snacks,Feb,2017,NR,LY,"10,124.30"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Nov,2017,Vol,Actual,"10,125.30"
Doritos,Core,Deepen Youth Footprint,Global,France,Snacks,Oct,2017,Vol,Actual,"10,141.60"
Other Juice,Toma Still Drink,Other,Local,Switzerland,Beverages,May,2017,Vol,Actual,"10,142.30"
Other Juice,Toma Still Drink,Other,Local,Switzerland,Beverages,May,2017,Vol,Fcst,"10,142.30"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Nov,2017,Vol,LY,"10,144.00"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Nov,2017,Vol,Plan,"10,144.00"
Other Energy,RockStar,Energy,Local,France,Beverages,Dec,2017,Vol,LY,"10,189.30"
Quaker,Oats,Other,Global,Spain,Snacks,Apr,2017,Vol,Plan,"10,194.00"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Apr,2017,Vol,LY,"10,195.00"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,May,2017,Vol,Plan,"10,202.30"
Lipton,Lipton,RTD,Global,Netherlands,Beverages,Sep,2017,Vol,Actual,"10,207.00"
Cheetos,Popcorn,Capture Family Fun,Global,Spain,Snacks,Oct,2017,NR,LY,"10,208.80"
Sweet,Gum,Other,Local,Spain,Snacks,Aug,2017,Vol,LY,"10,214.20"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Feb,2017,Vol,Plan,"10,216.60"
Balance,Elite Popcorn,Other,Local,Belgium,Snacks,Jul,2017,Vol,Plan,"10,219.10"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Oct,2017,NR,Fcst,"10,229.80"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Italy,Snacks,Sep,2017,Vol,Actual,"10,247.70"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Mar,2017,Vol,Plan,"10,253.10"
Other Juice,Toma Still Drink,Other,Local,Switzerland,Beverages,Jun,2017,Vol,Plan,"10,256.40"
Tasty,Cereals-Oats,Capture Family Fun,Local,Spain,Snacks,Feb,2017,Vol,LY,"10,260.30"
Other CSD,Slice,Flavors,Local,Italy,Beverages,May,2017,NR,Plan,"10,271.40"
Quaker,Cereals,Other,Global,Spain,Snacks,Jun,2017,Vol,Plan,"10,275.50"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Apr,2017,Vol,LY,"10,279.30"
7up,7-up,Flavors,Global,Netherlands,Beverages,Nov,2017,NR,LY,"10,285.90"
Doritos,Core,Deepen Youth Footprint,Global,Spain,Snacks,Jul,2017,NR,Plan,"10,286.70"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Mar,2017,Vol,Actual,"10,295.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Mar,2017,Vol,Fcst,"10,295.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Nov,2017,Vol,LY,"10,314.60"
Lay's,PC Baked,Build Lays Powerbrand,Global,Italy,Snacks,Nov,2017,Vol,Actual,"10,319.40"
Star,N&S,Capture Family Fun,Local,France,Snacks,Sep,2017,Vol,Fcst,"10,321.60"
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,Oct,2017,Vol,LY,"10,322.90"
Other Global,Gatorade ,Other,Global,France,Beverages,Jun,2017,Vol,Actual,"10,323.00"
Other Global,Gatorade ,Other,Global,France,Beverages,Jun,2017,Vol,Fcst,"10,323.00"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Dec,2017,Vol,Actual,"10,334.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Aug,2017,Vol,Actual,"10,335.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Aug,2017,Vol,Fcst,"10,335.40"
Balance,Balance,Other,Local,Spain,Snacks,Feb,2017,NR,Plan,"10,340.70"
Doritos,Core,Deepen Youth Footprint,Global,Spain,Snacks,Nov,2017,NR,Fcst,"10,342.50"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,May,2017,Vol,Actual,"10,343.70"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,May,2017,Vol,Fcst,"10,343.70"
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,May,2017,NR,LY,"10,345.00"
Other Global,Gatorade ,Other,Global,Switzerland,Beverages,Oct,2017,Vol,Plan,"10,345.30"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Mar,2017,Vol,LY,"10,347.00"
Star,N&S,Capture Family Fun,Local,France,Snacks,Sep,2017,Vol,LY,"10,349.50"
Ruffles,Ruffles,Build Lays Powerbrand,Global,Germany,Snacks,Nov,2017,Vol,Fcst,"10,353.10"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Aug,2017,Vol,Plan,"10,359.70"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Apr,2017,NR,LY,"10,361.00"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,May,2017,Vol,Actual,"10,371.40"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,May,2017,Vol,Fcst,"10,371.60"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Jul,2017,Vol,LY,"10,376.40"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Mar,2017,NR,LY,"10,376.40"
Quaker,Cereals,Other,Global,Spain,Snacks,Mar,2017,Vol,LY,"10,378.30"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Jun,2017,NR,LY,"10,383.50"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Aug,2017,Vol,LY,"10,387.20"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Jan,2017,Vol,Actual,"10,390.00"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Jan,2017,Vol,Fcst,"10,390.00"
Other Juice,Toma Still Drink,Other,Local,Switzerland,Beverages,Jun,2017,Vol,LY,"10,402.30"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Jul,2017,Vol,LY,"10,408.80"
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,Dec,2017,Vol,LY,"10,420.10"
Quaker,Oats,Other,Global,Spain,Snacks,Jun,2017,Vol,Plan,"10,424.70"
Quaker,Bars,Other,Global,Spain,Snacks,Dec,2017,NR,LY,"10,435.20"
Lipton,Lipton [green],RTD,Global,Netherlands,Beverages,Nov,2017,NR,LY,"10,437.20"
