Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Jun,2017,Vol,LY,"77,876.80"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Dec,2017,Vol,Fcst,"77,899.70"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Sep,2017,NR,Actual,"77,904.20"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Oct,2017,Vol,LY,"77,908.80"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,May,2017,Vol,Plan,"77,910.20"
Balance,Balance,Other,Local,Germany,Snacks,Feb,2017,NR,Plan,"77,916.70"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Apr,2017,Vol,Actual,"77,983.70"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Apr,2017,Vol,Fcst,"77,983.70"
Pepsi,Pepsi Light,Colas,Global,France,Beverages,Oct,2017,Vol,Actual,"77,991.50"
Lipton,Lipton [green],RTD,Global,Italy,Beverages,Mar,2017,Vol,Actual,"78,007.60"
Pepsi,Pepsi Light,Colas,Global,Switzerland,Beverages,Jan,2017,NR,LY,"78,042.60"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Sep,2017,Vol,Actual,"78,058.50"
Mirinda,MirindaFlav,Flavors,Global,Portugal,Beverages,Aug,2017,Vol,Actual,"78,090.00"
Mirinda,MirindaFlav,Flavors,Global,Portugal,Beverages,Aug,2017,Vol,Fcst,"78,090.00"
Pepsi,Reg. Pepsi,Colas,Global,Netherlands,Beverages,Jul,2017,NR,LY,"78,126.70"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Apr,2017,NR,Fcst,"78,172.00"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Apr,2017,NR,Actual,"78,172.00"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Nov,2017,Vol,Actual,"78,206.60"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Oct,2017,NR,Fcst,"78,214.00"
Quaker,Cereals,Other,Global,Spain,Snacks,Nov,2017,NR,Plan,"78,278.30"
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Sep,2017,NR,Plan,"78,280.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Dec,2017,NR,Plan,"78,285.90"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Apr,2017,Vol,LY,"78,323.30"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,Oct,2017,NR,Actual,"78,336.90"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Aug,2017,NR,Plan,"78,351.30"
Other CSD,IVI Local flavors,Flavors,Local,Portugal,Beverages,Feb,2017,NR,LY,"78,383.10"
Balance,Private Label,Other,Local,Poland,Snacks,Sep,2017,NR,LY,"78,394.20"
Star,Ridged PC,Capture Family Fun,Local,Poland,Snacks,Aug,2017,Vol,Plan,"78,457.70"
Pepsi,Pepsi Twist,Colas,Global,Switzerland,Beverages,Sep,2017,Vol,Plan,"78,462.90"
Lipton,Lipton [green],RTD,Global,Italy,Beverages,Apr,2017,Vol,Actual,"78,494.70"
Star,Popcorn,Capture Family Fun,Local,Poland,Snacks,Feb,2017,NR,LY,"78,609.70"
Other CSD,Schweppes,Flavors,Local,Poland,Beverages,Dec,2017,NR,Actual,"78,616.90"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Sep,2017,Vol,LY,"78,625.40"
7up,7-up,Flavors,Global,France,Beverages,Jan,2017,Vol,LY,"78,658.30"
Star,Ridged PC,Capture Family Fun,Local,Poland,Snacks,Oct,2017,Vol,Actual,"78,660.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Dec,2017,NR,Fcst,"78,723.70"
Pepsi,Pepsi Max,Colas,Global,Spain,Beverages,Dec,2017,Vol,LY,"78,744.00"
Balance,Ferrero,Other,Local,Spain,Snacks,Oct,2017,Vol,Plan,"78,744.90"
Pepsi,Pepsi Light,Colas,Global,Portugal,Beverages,Sep,2017,Vol,Plan,"78,752.30"
Pepsi,Pepsi Twist,Colas,Global,Portugal,Beverages,Apr,2017,NR,LY,"78,754.60"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Oct,2017,Vol,Actual,"78,785.60"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Oct,2017,Vol,Actual,"78,787.50"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,Nov,2017,Vol,Plan,"78,854.70"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Apr,2017,Vol,Plan,"78,862.00"
Other CSD,Evervess,Flavors,Local,Portugal,Beverages,Aug,2017,Vol,LY,"78,879.20"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Jul,2017,Vol,LY,"78,889.70"
Doritos,Core,Deepen Youth Footprint,Global,Germany,Snacks,Nov,2017,NR,Actual,"78,901.40"
Mirinda,Mirinda,Flavors,Global,Switzerland,Beverages,Oct,2017,Vol,LY,"78,960.40"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Oct,2017,NR,Fcst,"78,980.10"
Pepsi,Pepsi Max,Colas,Global,Spain,Beverages,Mar,2017,Vol,Plan,"79,014.10"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Jan,2017,Vol,LY,"79,026.00"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Switzerland,Snacks,Jun,2017,Vol,Actual,"79,031.70"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Switzerland,Snacks,Jun,2017,Vol,Fcst,"79,031.70"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Dec,2017,Vol,Actual,"79,040.40"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jun,2017,Vol,Actual,"79,045.70"
Other Energy,RockStar,Energy,Local,France,Beverages,Oct,2017,NR,Fcst,"79,046.00"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Oct,2017,NR,Plan,"79,075.10"
Lipton,Lipton [green],RTD,Global,Italy,Beverages,Jan,2017,Vol,Plan,"79,085.50"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Dec,2017,Vol,Plan,"79,104.00"
Pepsi,Pepsi Light,Colas,Global,Italy,Beverages,Aug,2017,NR,LY,"79,140.70"
Balance,Balance,Other,Local,Belgium,Snacks,Jul,2017,Vol,Plan,"79,160.20"
Pepsi,Pepsi Light,Colas,Global,Switzerland,Beverages,Sep,2017,NR,Plan,"79,177.90"
Star,N&S,Capture Family Fun,Local,France,Snacks,Sep,2017,NR,Plan,"79,180.30"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,May,2017,Vol,Actual,"79,181.50"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,May,2017,Vol,Fcst,"79,181.50"
Lipton,Lipton,RTD,Global,Italy,Beverages,Jul,2017,Vol,Actual,"79,186.90"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Dec,2017,Vol,LY,"79,213.30"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Mar,2017,NR,Actual,"79,220.80"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Mar,2017,NR,Fcst,"79,220.80"
7up,7-up,Flavors,Global,Italy,Beverages,Sep,2017,Vol,Actual,"79,240.10"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,Nov,2017,NR,LY,"79,240.70"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,May,2017,NR,LY,"79,261.30"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,NR,Actual,"79,287.60"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,NR,Fcst,"79,287.60"
7up,7-up,Flavors,Global,Italy,Beverages,Jan,2017,Vol,LY,"79,309.80"
Other Global,Gatorade ,Other,Global,France,Beverages,Jul,2017,NR,Actual,"79,314.90"
Other Global,Gatorade ,Other,Global,France,Beverages,Jul,2017,NR,Fcst,"79,314.90"
Lipton,Lipton,RTD,Global,Italy,Beverages,Nov,2017,Vol,Fcst,"79,326.10"
Star,Ridged PC,Capture Family Fun,Local,Poland,Snacks,Aug,2017,Vol,Fcst,"79,353.70"
Star,Ridged PC,Capture Family Fun,Local,Poland,Snacks,Aug,2017,Vol,Actual,"79,353.70"
Quaker,Cereals,Other,Global,Spain,Snacks,Oct,2017,NR,Fcst,"79,397.30"
Pepsi,Pepsi Light,Colas,Global,Switzerland,Beverages,Jan,2017,NR,Actual,"79,418.00"
Pepsi,Pepsi Light,Colas,Global,Switzerland,Beverages,Jan,2017,NR,Fcst,"79,418.00"
Lipton,Lipton,RTD,Global,Italy,Beverages,Aug,2017,NR,LY,"79,427.00"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,Sep,2017,NR,Actual,"79,476.80"
Lay's,PC Stix,Build Lays Powerbrand,Global,Poland,Snacks,Apr,2017,Vol,LY,"79,487.90"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Jul,2017,Vol,Plan,"79,508.40"
Mirinda,MirindaFlav,Flavors,Global,Italy,Beverages,Oct,2017,NR,Actual,"79,511.60"
Other CSD,Evervess,Flavors,Local,Portugal,Beverages,Jun,2017,NR,Actual,"79,557.20"
Other CSD,Evervess,Flavors,Local,Portugal,Beverages,Jun,2017,NR,Fcst,"79,557.20"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Sep,2017,Vol,LY,"79,591.10"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,Sep,2017,NR,Plan,"79,593.70"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,Dec,2017,Vol,Plan,"79,609.80"
Lay's,PC Max,Build Lays Powerbrand,Global,Germany,Snacks,Sep,2017,NR,Fcst,"79,676.90"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Feb,2017,NR,LY,"79,686.70"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jun,2017,NR,Actual,"79,692.50"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Nov,2017,NR,Fcst,"79,729.30"
Lipton,Lipton,RTD,Global,Italy,Beverages,Sep,2017,Vol,Actual,"79,757.40"
Pepsi,Pepsi Light,Colas,Global,Poland,Beverages,Mar,2017,Vol,Plan,"79,766.20"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Aug,2017,Vol,Actual,"79,774.10"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Aug,2017,Vol,Fcst,"79,774.10"
Pepsi,Pepsi Light,Colas,Global,France,Beverages,Oct,2017,Vol,Fcst,"79,776.80"
Star,N&S,Capture Family Fun,Local,France,Snacks,Jan,2017,NR,Plan,"79,778.20"
Star,Ridged PC,Capture Family Fun,Local,Poland,Snacks,Aug,2017,Vol,LY,"79,852.50"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,Oct,2017,NR,Fcst,"79,947.80"
Balance,Balance,Other,Local,Belgium,Snacks,Feb,2017,Vol,Plan,"79,974.70"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Jul,2017,Vol,LY,"80,007.80"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Jun,2017,NR,Actual,"80,014.40"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Jun,2017,NR,Fcst,"80,014.40"
Balance,Balance,Other,Local,Belgium,Snacks,Jan,2017,Vol,Actual,"80,040.70"
Balance,Balance,Other,Local,Belgium,Snacks,Jan,2017,Vol,Fcst,"80,040.70"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,Vol,LY,"80,094.10"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,Sep,2017,NR,Plan,"80,142.50"
Balance,Balance,Other,Local,Belgium,Snacks,Aug,2017,Vol,Plan,"80,143.60"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,May,2017,Vol,LY,"80,171.10"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Jul,2017,Vol,Plan,"80,185.10"
Quaker,Bars,Other,Global,Spain,Snacks,Apr,2017,NR,LY,"80,254.70"
Chipsy,Max,Build Lays Powerbrand,Local,Germany,Snacks,Feb,2017,Vol,LY,"80,258.90"
Lay's,PC Stix,Build Lays Powerbrand,Global,Poland,Snacks,Oct,2017,Vol,LY,"80,322.90"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,May,2017,Vol,Plan,"80,355.00"
Pepsi,Pepsi Max,Colas,Global,Switzerland,Beverages,May,2017,NR,LY,"80,368.20"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Aug,2017,Vol,Actual,"80,370.80"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Aug,2017,Vol,Fcst,"80,370.80"
Other Energy,RockStar,Energy,Local,France,Beverages,Jan,2017,NR,Plan,"80,373.30"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,Mar,2017,Vol,Plan,"80,420.30"
Mirinda,MirindaFlav,Flavors,Global,Italy,Beverages,Aug,2017,NR,LY,"80,435.60"
Mirinda,Mirinda,Flavors,Global,Italy,Beverages,Feb,2017,Vol,LY,"80,476.50"
Mirinda,MirindaFlav,Flavors,Global,Portugal,Beverages,Jun,2017,NR,Plan,"80,522.30"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Jan,2017,Vol,LY,"80,527.00"
Other Global,Tropicana,Other,Global,Poland,Beverages,Aug,2017,NR,LY,"80,591.00"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Switzerland,Snacks,Oct,2017,Vol,Plan,"80,596.60"
Lipton,Lipton,RTD,Global,Italy,Beverages,Apr,2017,NR,Plan,"80,608.30"
Pepsi,Pepsi Light,Colas,Global,Portugal,Beverages,Jun,2017,Vol,Actual,"80,609.70"
Pepsi,Pepsi Light,Colas,Global,Portugal,Beverages,Jun,2017,Vol,Fcst,"80,609.70"
Other Global,Gatorade ,Other,Global,Switzerland,Beverages,Jul,2017,NR,Plan,"80,707.20"
Pepsi,Pepsi Light,Colas,Global,Switzerland,Beverages,Aug,2017,NR,Plan,"80,725.10"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Apr,2017,Vol,Actual,"80,730.40"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Apr,2017,Vol,Fcst,"80,730.40"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Feb,2017,Vol,Actual,"80,769.20"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Apr,2017,NR,Actual,"80,777.30"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Apr,2017,NR,Fcst,"80,777.30"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Switzerland,Snacks,Mar,2017,Vol,Plan,"80,794.50"
7up,7-up,Flavors,Global,Italy,Beverages,Nov,2017,Vol,LY,"80,794.80"
Other Juice,Toma Juice,Other,Local,Italy,Beverages,Oct,2017,NR,Actual,"80,813.60"
Tasty,N&S,Capture Family Fun,Local,Belgium,Snacks,Nov,2017,Vol,Fcst,"80,840.50"
Balance,Balance,Other,Local,Spain,Snacks,Apr,2017,NR,Plan,"80,930.70"
Other CSD,Evervess,Flavors,Local,France,Beverages,Jan,2017,NR,Plan,"80,965.10"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Jul,2017,NR,Actual,"80,979.40"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Jul,2017,NR,Fcst,"80,979.40"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Aug,2017,Vol,Fcst,"81,022.70"
Sweet,Gum,Other,Local,Spain,Snacks,Mar,2017,NR,Actual,"81,058.00"
Sweet,Gum,Other,Local,Spain,Snacks,Mar,2017,NR,Fcst,"81,058.00"
Lay's,PC Max,Build Lays Powerbrand,Global,Netherlands,Snacks,Apr,2017,NR,Actual,"81,061.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Netherlands,Snacks,Apr,2017,NR,Fcst,"81,061.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Nov,2017,NR,Plan,"81,069.40"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Nov,2017,Vol,Fcst,"81,092.50"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Sep,2017,NR,Plan,"81,104.90"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,May,2017,Vol,Plan,"81,108.30"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Oct,2017,NR,LY,"81,113.30"
Quaker,Cereals,Other,Global,Spain,Snacks,Oct,2017,NR,Actual,"81,128.30"
Other Energy,RockStar,Energy,Local,France,Beverages,Dec,2017,NR,LY,"81,135.30"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Jan,2017,Vol,Actual,"81,147.30"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Jan,2017,Vol,Fcst,"81,147.30"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Dec,2017,NR,Fcst,"81,177.20"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Jul,2017,NR,Plan,"81,209.60"
Lipton,Lipton,RTD,Global,Italy,Beverages,Nov,2017,Vol,LY,"81,232.90"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Aug,2017,NR,Actual,"81,295.70"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Aug,2017,NR,Fcst,"81,295.70"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Apr,2017,Vol,LY,"81,318.80"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Jul,2017,Vol,Actual,"81,327.60"
Ruffles,Ruffles,Build Lays Powerbrand,Global,France,Snacks,Jul,2017,Vol,Fcst,"81,327.60"
Lay's,PC Core,Build Lays Powerbrand,Global,Germany,Snacks,Jun,2017,NR,Actual,"81,366.80"
Lay's,PC Core,Build Lays Powerbrand,Global,Germany,Snacks,Jun,2017,NR,Fcst,"81,366.80"
Pepsi,Pepsi Light,Colas,Global,Poland,Beverages,Sep,2017,Vol,Fcst,"81,386.80"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Mar,2017,NR,Actual,"81,390.70"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Mar,2017,NR,Fcst,"81,390.70"
7up,7-up,Flavors,Global,France,Beverages,Jan,2017,Vol,Actual,"81,428.40"
7up,7-up,Flavors,Global,France,Beverages,Jan,2017,Vol,Fcst,"81,428.40"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Jun,2017,NR,Plan,"81,465.70"
Pepsi,Pepsi Light,Colas,Global,Italy,Beverages,Apr,2017,Vol,Plan,"81,491.60"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Jul,2017,Vol,Plan,"81,538.30"
Mirinda,MirindaFlav,Flavors,Global,Poland,Beverages,Jan,2017,NR,LY,"81,542.40"
Pepsi,Pepsi Light,Colas,Global,Portugal,Beverages,May,2017,Vol,Plan,"81,542.60"
Lay's,PC Max,Build Lays Powerbrand,Global,Netherlands,Snacks,Oct,2017,NR,Actual,"81,546.30"
Lay's,PC Stix,Build Lays Powerbrand,Global,Poland,Snacks,Oct,2017,Vol,Actual,"81,582.80"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,May,2017,Vol,LY,"81,606.30"
Mirinda,MirindaFlav,Flavors,Global,Poland,Beverages,Oct,2017,Vol,Fcst,"81,630.10"
Lay's,PC Stix,Build Lays Powerbrand,Global,Poland,Snacks,Jul,2017,Vol,LY,"81,640.20"
Lay's,PC V-Cut,Build Lays Powerbrand,Global,Netherlands,Snacks,Oct,2017,NR,Actual,"81,649.10"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Mar,2017,Vol,LY,"81,716.30"
Pepsi,Reg. Pepsi,Colas,Global,Netherlands,Beverages,Jan,2017,NR,Plan,"81,718.60"
Balance,Hyper,Capture Family Fun,Local,Poland,Snacks,Sep,2017,NR,Fcst,"81,766.40"
Mirinda,Mirinda,Flavors,Global,Portugal,Beverages,Apr,2017,NR,Actual,"81,787.50"
Mirinda,Mirinda,Flavors,Global,Portugal,Beverages,Apr,2017,NR,Fcst,"81,787.50"
7up,7-up,Flavors,Global,Italy,Beverages,Oct,2017,NR,LY,"81,810.70"
Star,Popcorn,Capture Family Fun,Local,France,Snacks,Dec,2017,Vol,Fcst,"81,843.40"
Quaker,Cereals,Other,Global,Spain,Snacks,Oct,2017,NR,Plan,"81,862.30"
Lay's,PC Core,Build Lays Powerbrand,Global,Italy,Snacks,Mar,2017,Vol,LY,"81,904.10"
Lipton,Lipton,RTD,Global,Italy,Beverages,May,2017,NR,Actual,"81,911.80"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Mar,2017,NR,Plan,"81,971.50"
7up,7-up,Flavors,Global,Italy,Beverages,May,2017,Vol,Actual,"81,981.90"
7up,7-up,Flavors,Global,Italy,Beverages,May,2017,Vol,Fcst,"81,984.10"
Lay's,PC Strong,Build Lays Powerbrand,Global,France,Snacks,Sep,2017,NR,Actual,"82,017.50"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Nov,2017,NR,Fcst,"82,025.80"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Dec,2017,NR,Actual,"82,027.80"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,May,2017,NR,Plan,"82,028.70"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,May,2017,Vol,Actual,"82,046.00"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,May,2017,Vol,Fcst,"82,046.00"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Switzerland,Snacks,Apr,2017,Vol,Plan,"82,052.60"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Nov,2017,Vol,Actual,"82,058.10"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Jan,2017,Vol,Plan,"82,112.30"
Pepsi,Pepsi Twist,Colas,Global,Switzerland,Beverages,Jul,2017,Vol,Plan,"82,114.90"
Balance,Ferrero,Other,Local,Spain,Snacks,Sep,2017,Vol,Fcst,"82,115.50"
Other CSD,Evervess,Flavors,Local,Portugal,Beverages,Jan,2017,Vol,Plan,"82,128.40"
Lipton,Lipton,RTD,Global,Italy,Beverages,Jan,2017,NR,Plan,"82,165.60"
Mirinda,MirindaFlav,Flavors,Global,France,Beverages,Mar,2017,Vol,LY,"82,256.30"
Mirinda,MirindaFlav,Flavors,Global,France,Beverages,Jan,2017,Vol,Actual,"82,273.10"
Mirinda,MirindaFlav,Flavors,Global,France,Beverages,Jan,2017,Vol,Fcst,"82,273.10"
Mirinda,MirindaFlav,Flavors,Global,Italy,Beverages,Dec,2017,NR,Actual,"82,311.60"
Pepsi,Pepsi Max,Colas,Global,Switzerland,Beverages,Apr,2017,Vol,Actual,"82,366.50"
Pepsi,Pepsi Max,Colas,Global,Switzerland,Beverages,Apr,2017,Vol,Fcst,"82,366.50"
Twistos,Extruded / Pellet,Capture Family Fun,Local,Poland,Snacks,Jun,2017,Vol,LY,"82,376.40"
Lipton,Lipton,RTD,Global,Italy,Beverages,Jul,2017,Vol,Plan,"82,409.20"
Lipton,Lipton [green],RTD,Global,Switzerland,Beverages,Apr,2017,Vol,LY,"82,409.20"
Lay's,PC Baked,Build Lays Powerbrand,Global,France,Snacks,Dec,2017,NR,Fcst,"82,415.60"
7up,7-up,Flavors,Global,Spain,Beverages,Dec,2017,NR,Actual,"82,495.60"
Lay's,PC Baked,Build Lays Powerbrand,Global,Poland,Snacks,Jan,2017,Vol,LY,"82,607.50"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Apr,2017,Vol,Actual,"82,608.60"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Apr,2017,Vol,Fcst,"82,611.00"
Mirinda,Mirinda,Flavors,Global,Italy,Beverages,Feb,2017,Vol,Actual,"82,652.20"
Mirinda,Mirinda,Flavors,Global,Italy,Beverages,Feb,2017,Vol,Fcst,"82,654.10"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Dec,2017,Vol,Fcst,"82,654.70"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Jun,2017,NR,Actual,"82,659.80"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Jun,2017,NR,Fcst,"82,659.80"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Apr,2017,NR,Plan,"82,669.40"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Nov,2017,NR,Actual,"82,692.00"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,May,2017,NR,Fcst,"82,738.50"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,May,2017,NR,Actual,"82,738.50"
Lipton,Lipton [green],RTD,Global,Switzerland,Beverages,May,2017,Vol,LY,"82,741.10"
Quaker,Oats,Other,Global,Belgium,Snacks,Feb,2017,Vol,LY,"82,768.00"
Pepsi,Pepsi Twist,Colas,Global,Switzerland,Beverages,Jun,2017,Vol,Plan,"82,799.20"
Krax,Krax,Capture Family Fun,Local,France,Snacks,Nov,2017,Vol,Actual,"82,824.40"
7up,7-up - Diet,Flavors,Global,Portugal,Beverages,Dec,2017,NR,Plan,"82,834.80"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Sep,2017,NR,Fcst,"82,875.80"
Pepsi,Pepsi Light,Colas,Global,Poland,Beverages,Feb,2017,Vol,LY,"82,879.70"
Lipton,Lipton,RTD,Global,Italy,Beverages,May,2017,Vol,LY,"82,897.00"
Mirinda,MirindaFlav,Flavors,Global,Poland,Beverages,Mar,2017,Vol,Plan,"82,904.20"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Nov,2017,NR,Actual,"82,916.80"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Jul,2017,NR,Plan,"82,943.10"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Jul,2017,NR,Plan,"82,945.00"
Pepsi,Pepsi Max,Colas,Global,Italy,Beverages,Oct,2017,NR,LY,"82,989.50"
Lay's,PC Max,Build Lays Powerbrand,Global,Italy,Snacks,Dec,2017,Vol,Plan,"82,990.10"
Lipton,Lipton [green],RTD,Global,Italy,Beverages,Sep,2017,Vol,Actual,"83,014.10"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,Vol,Actual,"83,040.10"
Lay's,PC Core,Build Lays Powerbrand,Global,Spain,Snacks,Feb,2017,Vol,Fcst,"83,040.10"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Mar,2017,Vol,Actual,"83,044.00"
Lay's,PC Max,Build Lays Powerbrand,Global,France,Snacks,Mar,2017,Vol,Fcst,"83,044.00"
Lipton,Lipton [green],RTD,Global,Spain,Beverages,Apr,2017,Vol,LY,"83,099.50"
Pepsi,Pepsi Twist,Colas,Global,Portugal,Beverages,Jan,2017,NR,Plan,"83,153.10"
Pepsi,Reg. Pepsi,Colas,Global,Spain,Beverages,Jan,2017,Vol,LY,"83,173.60"
Quaker,Cereals,Other,Global,Spain,Snacks,Mar,2017,NR,Plan,"83,177.70"
